Jamie Vardy,16.0,11.354545454545455
Tammy Abraham,11.0,15.642857142857142
Pierre-Emerick Aubameyang,11.0,15.61111111111111
Marcus Rashford,10.0,15.762500000000003
Danny Ings,9.0,10.966666666666665
Teemu Pukki,9.0,13.14285714285714
Sadio Man?,9.0,29.4875
Harry Kane,9.0,13.342857142857143
Raheem Sterling,9.0,30.271428571428572
Mohamed Salah,9.0,24.585714285714285
Sergio Ag?ero,9.0,17.342857142857145
Chris Wood,7.0,8.316666666666666
Neal Maupay,7.0,10.799999999999999
Ashley Barnes,6.0,2.9
Harry Wilson,6.0,6.959999999999999
Kevin De Bruyne,6.0,59.459999999999994
Richarlison de Andrade,6.0,15.14
Ra?l Jim?nez,6.0,19.283333333333335
Bamidele Alli,5.0,21.15
Gabriel Fernando de Jesus,5.0,9.375
Callum Wilson,5.0,9.375
Heung-Min Son,5.0,33.775000000000006
James Maddison,5.0,32.879999999999995
Jonjo Shelvey,5.0,24.96
Lys Mousset,5.0,8.36
Mason Mount,5.0,25.939999999999998
Alexandre Lacazette,5.0,18.025
Bernardo Mota Veiga de Carvalho e Silva,5.0,19.46666666666667
S?bastien Haller,5.0,6.15
Dominic Calvert-Lewin,5.0,5.075
Christian Pulisic,5.0,29.73333333333333
John Fleck,4.0,19.599999999999998
Jack Grealish,4.0,36.800000000000004
Jordan Ayew,4.0,7.9
Todd Cantwell,4.0,12.175
Lucas Rodrigues Moura da Silva,4.0,19.299999999999997
Roberto Firmino,4.0,12.675
Ayoze P?rez,4.0,18.6
Anthony Martial,4.0,12.675
James Ward-Prowse,4.0,21.374999999999996
Riyad Mahrez,4.0,35.050000000000004
Wesley Moraes,4.0,13.333333333333334
Wilfried Zaha,3.0,18.46666666666667
Adama Traor?,3.0,16.55
John McGinn,3.0,16.400000000000002
Aaron Cresswell,3.0,7.400000000000001
Anwar El Ghazi,3.0,9.0
Diogo Jota,3.0,11.9
Virgil van Dijk,3.0,2.25
Youri Tielemans,3.0,38.86666666666667
Joshua King,3.0,13.866666666666667
Daniel James,3.0,12.6
Divock Origi,3.0,14.299999999999999
David Silva,3.0,27.2
Mahmoud Ahmed Ibrahim Hassan,3.0,6.266666666666666
Andriy Yarmolenko,3.0,22.8
John Lundstram,3.0,17.2
N'Golo Kant?,3.0,12.0
Angelo Ogbonna,2.0,0.3
Conor Hourihane,2.0,39.0
Wilfred Ndidi,2.0,8.35
Adam Webster,2.0,6.050000000000001
Ciaran Clark,2.0,5.3999999999999995
Jeffrey Schlupp,2.0,0.6
Tanguy Ndombele,2.0,15.9
Federico Fern?ndez,2.0,0.3
Jay Rodriguez,2.0,7.800000000000001
George Baldock,2.0,11.05
Nicol?s Otamendi,2.0,0.65
Willian Borges Da Silva,2.0,24.75
Georginio Wijnaldum,2.0,10.8
Lewis Dunk,2.0,6.550000000000001
Kelechi Iheanacho,2.0,29.450000000000003
Luka Milivojevic,2.0,12.799999999999999
Erik Lamela,2.0,17.15
Jetro Willems,2.0,6.800000000000001
Gerard Deulofeu,2.0,19.9
Bernard An?cio Caldeira Duarte,2.0,23.85
R?ben Diogo da Silva Neves,2.0,16.95
Matt Doherty,2.0,13.3
David Luiz Moreira Marinho,2.0,1.95
Rodrigo Hernandez,2.0,19.25
Aaron Connolly,2.0,23.8
Moussa Sissoko,2.0,8.950000000000001
Leandro Trossard,2.0,28.0
Moussa Djenepo,2.0,6.300000000000001
Patrick Cutrone,2.0,0.8
Scott McTominay,2.0,8.85
Oliver McBurnie,2.0,2.0
Douglas Luiz Soares de Paulo,2.0,7.1
Jeff Hendrick,2.0,6.1
Patrick van Aanholt,2.0,12.700000000000001
Mason Greenwood,2.0,5.95
Nicolas P?p?,2.0,34.75
Ricardo Domingos Barbosa Pereira,2.0,15.35
Robert Snodgrass,2.0,54.9
Andre Gray,2.0,23.4
Will Hughes,1.0,13.7
Fikayo Tomori,1.0,0.8
Calum Chambers,1.0,11.0
Shane Duffy,1.0,0.8
Xherdan Shaqiri,1.0,16.8
Abdoulaye Doucour?,1.0,11.7
Johann Berg Gudmundsson,1.0,33.1
Alex Oxlade-Chamberlain,1.0,8.9
Romain Sa?ss,1.0,0.2
Ryan Bertrand,1.0,6.4
Steve Cook,1.0,11.0
Dwight McNeil,1.0,26.3
Jan Vertonghen,1.0,0.6
Sokratis Papastathopoulos,1.0,0.3
Josip Drmic,1.0,0.3
Florin Andone,1.0,0.5
Isma?la Sarr,1.0,1.8
Alex Iwobi,1.0,15.7
Davy Pr?pper,1.0,5.3
Joel Matip,1.0,11.3
?aglar S?y?nc?,1.0,0.7
Ilkay G?ndogan,1.0,31.8
Fabio Henrique Tavares,1.0,1.1
James Milner,1.0,26.9
Lucas Torreira,1.0,14.8
Naby Keita,1.0,43.5
Trent Alexander-Arnold,1.0,29.8
Andrew Robertson,1.0,24.1
Fabian Sch?r,1.0,1.5
Benjamin Chilwell,1.0,76.8
Tom Cleverley,1.0,37.4
Michy Batshuayi,1.0,0.5
Marcos Alonso,1.0,17.9
Roberto Pereyra,1.0,21.9
Nathan Ak?,1.0,0.1
Enda Stevens,1.0,7.8
Dan Gosling,1.0,24.5
Robbie Brady,1.0,0.0
Gabriel Teodoro Martinelli Silva,1.0,11.5
James Tarkowski,1.0,0.3
Tyrone Mings,1.0,0.3
Mateo Kovacic,1.0,32.4
Fabi?n Balbuena,1.0,2.0
DeAndre Yedlin,1.0,0.8
Jorge Luiz Frello Filho,1.0,42.4
Ryan Fraser,1.0,3.3
Christian Eriksen,1.0,28.7
Jo?o Filipe Iria Santos Moutinho,1.0,43.8
Matthew Longstaff,1.0,14.8
Jordan Henderson,1.0,17.7
Matt Targett,1.0,44.7
Brandon Williams,1.0,23.3
Harvey Barnes,1.0,5.1
Pascal Gro?,1.0,2.5
Andros Townsend,1.0,15.2
Billy Sharp,1.0,0.5
Leander Dendoncker,1.0,1.3
Onel Hern?ndez,1.0,1.0
Jannik Vestergaard,1.0,0.7
Joelinton C?ssio Apolin?rio de Lira,1.0,24.3
Mark Noble,1.0,12.5
Gylfi Sigurdsson,1.0,0.8
Alexander Tettey,1.0,5.2
Kenny McLean,1.0,1.1
Tom Davies,1.0,2.1
Andreas Pereira,1.0,36.1
Kyle Walker,1.0,28.1
Dennis Srbeny,1.0,0.0
Jonathan Castro Otto,1.0,22.9
Nathan Redmond,1.0,23.5
Allan Saint-Maximin,1.0,11.5
Victor Lindel?f,1.0,1.2
Chris Mepham,1.0,1.2
Cenk Tosun,1.0,0.3
Michael Keane,1.0,0.5
Callum Robinson,1.0,4.0
Michail Antonio,1.0,11.7
Adam Lallana,1.0,1.3
Javier Hern?ndez Balc?zar,1.0,1.2
Jonny Evans,1.0,0.6
Jamaal Lascelles,1.0,0.2
